"filename", "language", "TypeScript", "JSON", "SCSS", "HTML", "JavaScript", "Markdown", "XML", "Ignore", "comment", "blank", "total"
"/Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/users/users-list/users-list.component.html", "HTML", 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 49
"/Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/users/users-list/users-list.component.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 9, 80
"/Users/adamspice/projects/spiceydev/apps/admin/src/app/shared/shell/shell.component.html", "HTML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/adamspice/projects/spiceydev/apps/admin/src/app/shared/shell/shell.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/adamspice/projects/spiceydev/apps/admin/src/app/shared/sidebar/sidebar.component.html", "HTML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"/Users/adamspice/projects/spiceydev/apps/admin/src/app/shared/sidebar/sidebar.component.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/adamspice/projects/spiceydev/apps/admin/src/index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"/Users/adamspice/projects/spiceydev/apps/admin/src/main.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/adamspice/projects/spiceydev/apps/admin/src/polyfills.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 55, 7, 63
"/Users/adamspice/projects/spiceydev/apps/admin/src/styles.scss", "SCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/adamspice/projects/spiceydev/apps/admin/src/test-setup.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/adamspice/projects/spiceydev/apps/admin/tsconfig.app.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/adamspice/projects/spiceydev/apps/admin/tsconfig.editor.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 5, 0, 8
"/Users/adamspice/projects/spiceydev/apps/admin/tsconfig.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/adamspice/projects/spiceydev/apps/admin/tsconfig.spec.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/adamspice/projects/spiceydev/apps/ngshop-e2e/.eslintrc.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 18, 0, 21
"/Users/adamspice/projects/spiceydev/apps/ngshop-e2e/cypress.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/adamspice/projects/spiceydev/apps/ngshop-e2e/src/fixtures/example.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/adamspice/projects/spiceydev/apps/ngshop-e2e/src/integration/app.spec.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 4, 14
"/Users/adamspice/projects/spiceydev/apps/ngshop-e2e/src/plugins/index.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 14, 5, 23
